,barrio,Con muertos,Choque,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
0,Aguas Frias,0.0,35.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0
1,Aldea Pablo VI,1.0,33.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0
2,Alejandro Echavarría,4.0,561.0,2.0,17.0,178.0,125.0,0.0,1.0,0.0,0.0,0.0,622.0,0.0,0.0,5
3,Alejandría,0.0,535.0,1.0,4.0,93.0,86.0,0.0,0.0,1.0,0.0,1.0,438.0,0.0,0.0,5
4,Alfonso López,5.0,531.0,9.0,0.0,153.0,146.0,0.0,0.0,1.0,0.0,0.0,788.0,0.0,0.0,5
5,Altamira,0.0,482.0,8.0,10.0,94.0,111.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,5
6,Altavista,3.0,216.0,2.0,0.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0
7,Altavista Sector Central,5.0,85.0,2.0,0.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0
8,Altos del Poblado,1.0,219.0,1.0,1.0,35.0,32.0,2.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0
9,Andalucía,4.0,103.0,2.0,0.0,24.0,32.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0
10,Antonio Nariño,1.0,117.0,2.0,0.0,38.0,42.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0
11,Aranjuez,2.0,225.0,0.0,1.0,74.0,56.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0
12,Area De Expansion Altavista,0.0,18.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0
13,Area De Expansion Belen Rincon,0.0,11.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
14,Area de Expansion Altos de Calasanz,0.0,84.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0
15,Asomadera No. 1,5.0,619.0,2.0,0.0,53.0,63.0,9.0,0.0,0.0,0.0,2.0,677.0,0.0,0.0,5
16,Asomadera No. 2,0.0,447.0,2.0,2.0,62.0,47.0,0.0,0.0,0.0,1.0,0.0,445.0,0.0,0.0,5
17,Asomadera No. 3,1.0,92.0,1.0,1.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0
18,Astorga,0.0,281.0,1.0,0.0,128.0,14.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0
