fecha_index2,fecha,anio,dia,mes,semana_del_mes,quincena,dia_especial,prediccion
2021-01-01,2021-01-01,2021,Friday,1,1,0,1,72.10949910448683
2021-01-02,2021-01-02,2021,Saturday,1,1,0,0,68.79421065303545
2021-01-03,2021-01-03,2021,Sunday,1,1,0,0,41.391644394780904
2021-01-04,2021-01-04,2021,Monday,1,1,0,0,68.35863713374512
2021-01-05,2021-01-05,2021,Tuesday,1,1,0,0,75.39137535981916
2021-01-06,2021-01-06,2021,Wednesday,1,1,0,0,73.25142351369814
2021-01-07,2021-01-07,2021,Thursday,1,1,0,0,71.76616131695461
2021-01-08,2021-01-08,2021,Friday,1,2,0,0,76.5556009184415
2021-01-09,2021-01-09,2021,Saturday,1,2,0,0,68.09788502764921
2021-01-10,2021-01-10,2021,Sunday,1,2,0,0,40.97268381081077
2021-01-11,2021-01-11,2021,Monday,1,2,0,1,63.091720188971465
2021-01-12,2021-01-12,2021,Tuesday,1,2,0,0,74.62827413229112
2021-01-13,2021-01-13,2021,Wednesday,1,2,0,0,72.5099825871373
2021-01-14,2021-01-14,2021,Thursday,1,2,0,0,71.039754011947
2021-01-15,2021-01-15,2021,Friday,1,3,1,0,77.98348708935522
2021-01-16,2021-01-16,2021,Saturday,1,3,0,0,70.11587090421445
2021-01-17,2021-01-17,2021,Sunday,1,3,0,0,42.18685216892671
2021-01-18,2021-01-18,2021,Monday,1,3,0,0,69.67192923589752
2021-01-19,2021-01-19,2021,Tuesday,1,3,0,0,76.83977898490521
2021-01-20,2021-01-20,2021,Wednesday,1,3,0,0,74.65871482326216
2021-01-21,2021-01-21,2021,Thursday,1,3,0,0,73.14491807412854
2021-01-22,2021-01-22,2021,Friday,1,4,0,0,76.8906142387129
2021-01-23,2021-01-23,2021,Saturday,1,4,0,0,68.39588671913718
2021-01-24,2021-01-24,2021,Sunday,1,4,0,0,41.151983492077896
2021-01-25,2021-01-25,2021,Monday,1,4,0,0,67.96283520505716
2021-01-26,2021-01-26,2021,Tuesday,1,4,0,0,74.95485331922505
2021-01-27,2021-01-27,2021,Wednesday,1,4,0,0,72.82729196395505
2021-01-28,2021-01-28,2021,Thursday,1,4,0,0,71.35062955308683
2021-01-29,2021-01-29,2021,Friday,1,5,0,0,75.06718001145634
2021-01-30,2021-01-30,2021,Saturday,1,5,1,0,66.06169732843692
2021-01-31,2021-01-31,2021,Sunday,1,5,1,0,39.747563900766366
2021-02-01,2021-02-01,2021,Monday,2,1,0,0,82.51318214825933
2021-02-02,2021-02-02,2021,Tuesday,2,1,0,0,91.00214030454494
2021-02-03,2021-02-03,2021,Wednesday,2,1,0,0,88.41908359260351
2021-02-04,2021-02-04,2021,Thursday,2,1,0,0,86.62627853801995
2021-02-05,2021-02-05,2021,Friday,2,1,0,0,93.35233350739263
2021-02-06,2021-02-06,2021,Saturday,2,1,0,0,83.03894683057516
2021-02-07,2021-02-07,2021,Sunday,2,1,0,0,49.962322781250265
2021-02-08,2021-02-08,2021,Monday,2,2,0,0,81.67799496293388
2021-02-09,2021-02-09,2021,Tuesday,2,2,0,0,90.08102904158356
2021-02-10,2021-02-10,2021,Wednesday,2,2,0,0,87.52411767767764
2021-02-11,2021-02-11,2021,Thursday,2,2,0,0,85.74945915154433
2021-02-12,2021-02-12,2021,Friday,2,2,0,0,92.40743390910163
2021-02-13,2021-02-13,2021,Saturday,2,2,0,0,82.19843792678321
2021-02-14,2021-02-14,2021,Sunday,2,2,0,0,49.45661095861061
2021-02-15,2021-02-15,2021,Monday,2,3,1,0,83.2014220940171
2021-02-16,2021-02-16,2021,Tuesday,2,3,0,0,92.75045474076013
2021-02-17,2021-02-17,2021,Wednesday,2,3,0,0,90.1177728735868
2021-02-18,2021-02-18,2021,Thursday,2,3,0,0,88.2905248163688
2021-02-19,2021-02-19,2021,Friday,2,3,0,0,95.1457993729114
2021-02-20,2021-02-20,2021,Saturday,2,3,0,0,84.63427402866249
2021-02-21,2021-02-21,2021,Sunday,2,3,0,0,50.92218866894237
2021-02-22,2021-02-22,2021,Monday,2,4,0,0,82.03542428172135
2021-02-23,2021-02-23,2021,Tuesday,2,4,0,0,90.47523069725128
2021-02-24,2021-02-24,2021,Wednesday,2,4,0,0,87.9071300884647
2021-02-25,2021-02-25,2021,Thursday,2,4,0,0,86.12470551728629
2021-02-26,2021-02-26,2021,Friday,2,4,0,0,92.81181609512392
2021-02-27,2021-02-27,2021,Saturday,2,4,0,0,82.55814474484231
2021-02-28,2021-02-28,2021,Sunday,2,4,0,0,49.67303697117978
2021-03-01,2021-03-01,2021,Monday,3,1,0,0,77.96491338224901
2021-03-02,2021-03-02,2021,Tuesday,3,1,0,0,85.98594553891893
2021-03-03,2021-03-03,2021,Wednesday,3,1,0,0,83.54527136341441
2021-03-04,2021-03-04,2021,Thursday,3,1,0,0,81.85128881235103
2021-03-05,2021-03-05,2021,Friday,3,1,0,0,88.20659204316273
2021-03-06,2021-03-06,2021,Saturday,3,1,0,0,78.46169700940982
2021-03-07,2021-03-07,2021,Sunday,3,1,0,0,47.208313467017575
2021-03-08,2021-03-08,2021,Monday,3,2,0,0,77.17576315356357
2021-03-09,2021-03-09,2021,Tuesday,3,2,0,0,85.11560751579964
2021-03-10,2021-03-10,2021,Wednesday,3,2,0,0,82.6996375116998
2021-03-11,2021-03-11,2021,Thursday,3,2,0,0,81.02280122117297
2021-03-12,2021-03-12,2021,Friday,3,2,0,0,87.31377693874327
2021-03-13,2021-03-13,2021,Saturday,3,2,0,0,77.6675184045488
2021-03-14,2021-03-14,2021,Sunday,3,2,0,0,46.73047735135746
2021-03-15,2021-03-15,2021,Monday,3,3,1,0,78.61521635639441
2021-03-16,2021-03-16,2021,Tuesday,3,3,0,0,87.63788987115339
2021-03-17,2021-03-17,2021,Wednesday,3,3,0,0,85.15032596447503
2021-03-18,2021-03-18,2021,Thursday,3,3,0,0,83.42379896842596
2021-03-19,2021-03-19,2021,Friday,3,3,0,0,89.90119898012401
2021-03-20,2021-03-20,2021,Saturday,3,3,0,0,79.9690870236713
2021-03-21,2021-03-21,2021,Sunday,3,3,0,0,48.11526989318017
2021-03-22,2021-03-22,2021,Monday,3,4,0,1,72.27274235784107
2021-03-23,2021-03-23,2021,Tuesday,3,4,0,0,85.48808009701763
2021-03-24,2021-03-24,2021,Wednesday,3,4,0,0,83.06153761849346
2021-03-25,2021-03-25,2021,Thursday,3,4,0,0,81.37736336070489
2021-03-26,2021-03-26,2021,Friday,3,4,0,0,87.69586888194215
2021-03-27,2021-03-27,2021,Saturday,3,4,0,0,78.00739756304
2021-03-28,2021-03-28,2021,Sunday,3,4,0,0,46.93497358922285
2021-03-29,2021-03-29,2021,Monday,3,5,0,0,75.67528483437859
2021-03-30,2021-03-30,2021,Tuesday,3,5,1,0,82.57057468600927
2021-03-31,2021-03-31,2021,Wednesday,3,5,1,0,80.22684434694487
2021-04-01,2021-04-01,2021,Thursday,4,1,0,1,80.4564768969717
2021-04-02,2021-04-02,2021,Friday,4,1,0,1,86.70348063976301
2021-04-03,2021-04-03,2021,Saturday,4,1,0,0,82.71722291178833
2021-04-04,2021-04-04,2021,Sunday,4,1,0,0,49.76875006759738
2021-04-05,2021-04-05,2021,Monday,4,1,0,0,82.19349523837516
2021-04-06,2021-04-06,2021,Tuesday,4,1,0,0,90.64956399771273
2021-04-07,2021-04-07,2021,Wednesday,4,1,0,0,88.07651501298278
2021-04-08,2021-04-08,2021,Thursday,4,2,0,0,85.41723369487559
2021-04-09,2021-04-09,2021,Friday,4,2,0,0,92.04941296956682
2021-04-10,2021-04-10,2021,Saturday,4,2,0,0,81.87997045365982
2021-04-11,2021-04-11,2021,Sunday,4,2,0,0,49.26499756158644
2021-04-12,2021-04-12,2021,Monday,4,2,0,0,81.36154388038662
2021-04-13,2021-04-13,2021,Tuesday,4,2,0,0,89.73202146408224
2021-04-14,2021-04-14,2021,Wednesday,4,2,0,0,87.18501653053673
2021-04-15,2021-04-15,2021,Thursday,4,3,1,0,87.0104036953378
2021-04-16,2021-04-16,2021,Friday,4,3,0,0,94.77716898200812
2021-04-17,2021-04-17,2021,Saturday,4,3,0,0,84.3063692159999
2021-04-18,2021-04-18,2021,Sunday,4,3,0,0,50.724897076056486
2021-04-19,2021-04-19,2021,Monday,4,3,0,0,83.77257979404972
2021-04-20,2021-04-20,2021,Tuesday,4,3,0,0,92.39110481030723
2021-04-21,2021-04-21,2021,Wednesday,4,3,0,0,89.76862293674588
2021-04-22,2021-04-22,2021,Thursday,4,4,0,0,85.79102621593495
2021-04-23,2021-04-23,2021,Friday,4,4,0,0,92.4522284278482
